Company ID,Seed Date,Seed Investor IDs,Seed Investors
100006-93,12/03/2012,100439-92,Investor 57
100024-12,04/09/2015,105862-42;105918-31;106085-62;106104-43,Investor 492;Investor 564;Investor 820;Investor 852
100077-31,02/01/2014,105983-92;106083-64,Investor 669;Investor 816
100136-53,05/30/2014,105931-09;106097-68,Investor 584;Investor 839
100140-94,12/02/2014,101843-74,Investor 200
100155-34,01/01/2014,100153-81;105950-35,Investor 12;Investor 613
100194-40,12/05/2014,106035-13,Investor 742
100234-81,04/29/2015,100236-61,Investor 25
100237-15,04/16/2015,10568-26,Investor 445
100237-87,12/16/2014,105929-56,Investor 581
100274-50,12/09/2014,100287-01,Investor 34
100323-91,08/25/2014,105949-45,Investor 610
100340-20,10/10/2014,100352-89,Investor 44
100360-63,01/07/2016,10042-21;10463-23,Investor 54;Investor 389
100373-50,12/11/2014,100374-22,Investor 49
100386-01,04/21/2015,105859-36;105974-56;106122-79,Investor 489;Investor 652;Investor 883
100423-00,02/24/2015,104749-57;105882-22;105884-65;105961-15;106076-35,Investor 401;Investor 513;Investor 520;Investor 630;Investor 809
100447-12,01/30/2014,105967-54;105976-18,Investor 640;Investor 656
100462-33,12/12/2014,10156-69,Investor 174
100511-02,05/05/2015,10123-03;105876-64;105890-77;105941-98;105972-49;106114-06;106124-86,Investor 151;Investor 508;Investor 532;Investor 599;Investor 649;Investor 866;Investor 887
100537-75,08/02/2016,105880-24,Investor 512
100573-84,09/09/2014,100566-73,Investor 75
100574-47,02/26/2014,100566-73,Investor 75
100575-28,02/26/2014,100566-73,Investor 75
100591-30,02/20/2013,100566-73,Investor 75
100591-48,02/10/2013,100566-73,Investor 75
100595-53,02/08/2012,100566-73,Investor 75
100596-61,02/08/2012,100566-73,Investor 75
100621-18,02/21/2008,100566-73,Investor 75
100678-24,11/24/2014,10123-03;106055-20,Investor 151;Investor 777
100693-90,04/30/2015,106035-13;106072-21,Investor 742;Investor 804
100744-84,06/29/2015,10133-20;105967-00;106033-87;106122-79,Investor 155;Investor 639;Investor 740;Investor 883
100779-40,11/17/2015,10230-94,Investor 227
100818-46,04/06/2015,100605-70,Investor 86
100818-91,01/13/2015,105887-17;105925-42;106018-03,Investor 525;Investor 574;Investor 716
100820-62,02/06/2013,106120-99,Investor 881
100838-35,09/16/2015,100881-19;105897-16;105906-07;106004-89;106012-27,Investor 121;Investor 541;Investor 551;Investor 695;Investor 706
100867-06,12/31/2015,100296-28,Investor 38
100918-81,09/09/2016,105883-57;106054-39,Investor 516;Investor 776
100933-30,07/28/2009,10461-25;106104-88,Investor 387;Investor 855
100955-62,09/03/2015,106035-94,Investor 743
100958-95,03/15/2015,105901-66;105968-71;105980-23;106050-88,Investor 546;Investor 642;Investor 664;Investor 771
101057-59,11/13/2014,102197-62,Investor 221
101066-86,03/03/2015,105908-59;105924-61;105949-45;105967-00;105997-87;106081-12,Investor 554;Investor 572;Investor 610;Investor 639;Investor 684;Investor 812
101070-64,09/04/2014,105956-65,Investor 623
101176-48,02/11/2013,106125-94,Investor 891
101176-93,03/17/2015,10560-70;105890-77;105968-71;105976-18;106054-30;106114-06,Investor 438;Investor 532;Investor 642;Investor 656;Investor 775;Investor 866
101206-45,08/25/2015,10108-09,Investor 139
101214-01,10/27/2014,105872-95;106113-34;106117-48,Investor 502;Investor 864;Investor 873
101216-62,04/17/2015,106099-03,Investor 842
101286-73,09/10/2015,105849-28;105980-23,Investor 474;Investor 664
101356-39,10/01/2012,105918-94;105925-06,Investor 566;Investor 573
101357-11,10/26/2015,105971-68,Investor 646
101358-10,01/13/2015,10123-03;10133-20;106081-12,Investor 151;Investor 155;Investor 812
101368-90,07/01/2015,10052-20,Investor 69
101409-31,03/14/2013,106098-04,Investor 841
101414-80,11/01/2014,105884-65;106060-60,Investor 520;Investor 786
101525-50,07/22/2015,10123-03,Investor 151
101589-76,11/01/2014,105909-76,Investor 555
101636-11,08/03/2016,10134-73,Investor 156
101650-69,01/31/2008,105942-43;105945-22;106040-17;106052-23;106105-87;106111-63,Investor 600;Investor 604;Investor 752;Investor 772;Investor 856;Investor 861
101696-05,04/01/2014,105976-18,Investor 656
101748-43,02/04/2015,105997-87;106072-21,Investor 684;Investor 804
101758-15,01/02/2014,101602-45,Investor 177
101765-80,07/01/2015,105847-84,Investor 470
101770-03,09/09/2015,106059-16,Investor 782
101821-06,08/04/2015,10445-41,Investor 375
101857-60,10/04/2014,101659-42,Investor 184
101858-32,12/15/2014,105847-84;106009-93,Investor 470;Investor 703
101867-68,06/11/2015,105902-11;105971-68,Investor 547;Investor 646
101869-30,07/16/2015,105953-14,Investor 617
101882-98,02/01/2007,10123-03;10308-97,Investor 151;Investor 278
101895-67,06/02/2015,105908-59,Investor 554
101919-70,11/01/2015,103211-47,Investor 282
101966-05,09/07/2015,104776-30,Investor 403
101980-00,05/02/2014,105856-66;106072-21,Investor 482;Investor 804
101984-86,02/25/2016,105884-65;106060-60,Investor 520;Investor 786
101990-80,10/27/2015,105918-76,Investor 565
101995-75,12/16/2016,10123-03,Investor 151
102020-95,08/26/2015,105951-88;106054-30,Investor 614;Investor 775
102026-89,11/01/2016,10560-70,Investor 438
102072-52,10/02/2008,105921-46,Investor 569
102089-26,09/28/2014,101659-42,Investor 184
102128-05,12/05/2016,10135-81,Investor 157
102150-64,12/09/2014,105840-55,Investor 463
102168-37,02/27/2015,10139-41;105833-35;105939-01,Investor 161;Investor 462;Investor 593
102169-45,03/07/2016,105872-95;105888-52;105927-94;106025-23,Investor 502;Investor 528;Investor 575;Investor 731
102170-89,03/02/2016,10458-73,Investor 384
102171-16,09/11/2015,105886-00,Investor 522
102197-80,05/24/2016,10322-83,Investor 283
102203-20,02/06/2015,105897-97,Investor 543
102243-43,08/05/2015,100296-28,Investor 38
102286-54,07/01/2015,100881-19,Investor 121
102297-70,02/03/2015,105849-91,Investor 475
102384-46,05/01/2015,10322-83,Investor 283
102399-13,12/22/2014,105772-42;105772-51,Investor 451;Investor 452
102427-75,08/01/2014,106102-63,Investor 849
102443-59,07/01/2009,105929-56;106049-71,Investor 581;Investor 769
102450-07,01/03/2011,10146-16,Investor 167
102459-88,05/11/2015,10445-23,Investor 374
102486-61,06/04/2016,106081-66,Investor 813
102590-29,12/10/2014,106119-28,Investor 879
102689-65,03/15/2015,105938-65,Investor 592
102692-71,07/12/2016,105915-97,Investor 561
102694-15,09/14/2014,101659-42,Investor 184
102712-42,10/12/2015,106126-75,Investor 892
102746-71,01/01/2014,105976-18,Investor 656
102785-59,02/17/2015,105938-65,Investor 592
102795-85,03/02/2016,105847-84,Investor 470
102815-74,05/06/2015,105879-16,Investor 510
102825-28,07/02/2013,101913-94,Investor 207
102846-43,09/01/2014,105848-38,Investor 471
102885-40,01/01/2012,105945-22,Investor 604
102902-77,05/30/2013,106005-43,Investor 697
102914-65,09/01/2008,106099-03,Investor 842
103034-62,09/16/2014,10134-73;106113-43,Investor 156;Investor 865
103143-07,08/20/2015,10049-14,Investor 66
103146-94,03/02/2016,100699-03,Investor 101
103159-27,03/12/2015,10322-83;106110-82,Investor 283;Investor 860
103301-11,04/01/2013,105943-87,Investor 602
10338-04,08/01/2007,10241-02,Investor 240
103383-01,07/09/2015,106081-12,Investor 812
103447-99,02/17/2016,105904-27,Investor 550
103448-53,12/15/2015,101217-25,Investor 149
103469-41,09/22/2015,106100-38,Investor 843
103534-30,02/10/2015,106002-64;106009-48;106093-72,Investor 692;Investor 702;Investor 833
103575-43,11/26/2014,105999-22,Investor 686
103612-06,03/01/2014,100566-73,Investor 75
103623-22,05/21/2015,101089-99;105876-64;105968-71,Investor 140;Investor 508;Investor 642
103623-94,04/19/2016,104549-23,Investor 382
103637-80,02/04/2012,10052-20;105856-66;105858-55;105891-13;105976-18;105999-40;106019-74;106059-70,Investor 69;Investor 482;Investor 486;Investor 534;Investor 656;Investor 687;Investor 719;Investor 783
103647-70,09/01/2008,105891-40;106013-53;106116-94,Investor 536;Investor 707;Investor 872
103665-52,01/01/2008,105950-17;106036-12,Investor 612;Investor 744
103721-95,01/25/2017,10061-83,Investor 87
103738-42,03/07/2016,10049-14,Investor 66
103761-91,05/17/2012,105884-29,Investor 518
103764-25,11/17/2014,105907-15;106039-45,Investor 553;Investor 750
103815-64,08/01/2016,105952-33;106047-73,Investor 615;Investor 765
103858-93,12/23/2014,106081-12;106102-63,Investor 812;Investor 849
103866-58,07/16/2014,105907-15;105927-94,Investor 553;Investor 575
10388-62,08/13/2007,10388-53,Investor 329
103924-00,02/01/2014,105872-95;105897-16;105995-17;106070-32,Investor 502;Investor 541;Investor 682;Investor 799
103928-59,11/15/2014,105863-23;105874-30;106113-43,Investor 493;Investor 505;Investor 865
103931-92,10/13/2015,10501-03,Investor 415
103935-97,03/31/2016,10049-14,Investor 66
103962-25,02/01/2015,106054-39,Investor 776
103980-16,11/05/2015,101021-23,Investor 134
104001-85,09/14/2016,10139-41;105876-55,Investor 161;Investor 507
104011-75,04/16/2015,10139-95,Investor 162
104046-31,07/01/2014,104124-16,Investor 356
104049-73,07/20/2014,105884-29;105997-24;106072-21,Investor 518;Investor 683;Investor 804
104050-18,12/07/2015,105847-84;106033-87;106104-88,Investor 470;Investor 740;Investor 855
104052-34,11/17/2014,105863-23;106113-43,Investor 493;Investor 865
104083-12,05/15/2015,103272-40;105988-60;106091-11,Investor 289;Investor 674;Investor 826
104131-54,04/14/2015,105967-00;106063-39,Investor 639;Investor 790
104183-11,01/01/2014,105863-23;105893-83,Investor 493;Investor 537
104197-96,07/15/2013,105971-68,Investor 646
104207-05,08/15/2016,10322-83,Investor 283
104216-14,06/16/2016,102376-00,Investor 237
104226-22,05/01/2014,105974-83;106035-94,Investor 654;Investor 743
104304-52,11/06/2015,105997-87;106072-21,Investor 684;Investor 804
104374-81,07/14/2014,101748-16,Investor 192
104375-62,06/01/2015,105908-59,Investor 554
104394-43,11/12/2015,100554-04,Investor 73
104407-93,07/27/2015,105849-91,Investor 475
104469-49,05/14/2015,10357-03;105849-28;105974-65;105974-83;105980-23;106029-55;106029-64;106067-89,Investor 307;Investor 474;Investor 653;Investor 654;Investor 664;Investor 735;Investor 736;Investor 795
104539-51,10/30/2014,105847-84;106009-93,Investor 470;Investor 703
104545-54,04/22/2015,10108-09;105968-71;106124-41,Investor 139;Investor 642;Investor 886
104553-37,07/31/2015,10446-40,Investor 376
104563-63,09/01/2016,102830-95,Investor 268
104591-98,01/30/2015,100685-89,Investor 100
104597-56,08/11/2015,106009-93;106081-12,Investor 703;Investor 812
104648-95,05/06/2013,101830-69,Investor 198
104668-30,02/01/2012,10322-83,Investor 283
104671-99,06/10/2014,105950-17;106021-09,Investor 612;Investor 724
104690-17,06/19/2015,10134-73,Investor 156
104694-31,06/16/2015,105849-91,Investor 475
104701-51,01/27/2015,10281-70,Investor 267
104747-86,11/17/2013,105983-38,Investor 666
104776-66,12/31/2013,103264-57,Investor 287
104789-17,10/12/2014,101659-42,Investor 184
104798-35,05/01/2014,105890-23;105974-83,Investor 530;Investor 654
104837-23,05/06/2013,100981-09,Investor 131
104879-35,02/03/2015,105977-62;106118-74,Investor 659;Investor 878
10506-34,03/25/2008,10404-55,Investor 351
10509-76,12/29/2008,10267-84,Investor 261
105476-77,10/31/2014,102425-68,Investor 244
105812-11,10/16/2016,100193-86,Investor 17
10601-11,09/05/2007,10271-98,Investor 264
106668-37,10/27/2013,105971-68,Investor 646
106842-61,01/02/2015,10382-32;105975-37;106093-90;106113-43,Investor 322;Investor 655;Investor 834;Investor 865
106924-33,11/21/2014,10445-23,Investor 374
106959-52,03/24/2014,10108-09,Investor 139
106988-59,08/11/2015,105953-14,Investor 617
107001-46,10/14/2013,106088-23,Investor 822
107032-51,03/01/2014,105501-25;106125-94,Investor 433;Investor 891
107035-30,08/05/2015,10052-20;10134-73,Investor 69;Investor 156
107036-65,12/19/2013,106097-68,Investor 839
107120-62,01/15/2015,105863-95,Investor 494
107140-42,03/01/2016,10025-47,Investor 30
107147-08,01/05/2016,10139-41,Investor 161
107239-87,08/24/2016,10139-41,Investor 161
107241-40,04/30/2007,105616-00,Investor 440
107326-36,01/03/2017,10293-04,Investor 270
107410-33,09/20/2016,103211-47,Investor 282
107452-90,04/02/2015,106070-32,Investor 799
107512-21,12/01/2014,102495-16;105884-29;105974-83,Investor 254;Investor 518;Investor 654
107514-73,08/25/2016,105953-14,Investor 617
107565-40,01/27/2015,10139-41;10463-23;105967-72;105986-62;106097-68,Investor 161;Investor 389;Investor 641;Investor 672;Investor 839
107570-35,01/26/2015,10134-73;10195-75,Investor 156;Investor 211
107588-26,08/01/2012,106042-87,Investor 757
107634-25,07/13/2015,10322-83,Investor 283
107722-81,07/01/2014,106070-32,Investor 799
107729-29,02/01/2015,106053-40,Investor 774
107733-16,03/25/2015,105880-24,Investor 512
107762-50,02/11/2011,10241-02,Investor 240
107770-60,02/03/2015,10134-73;105862-33,Investor 156;Investor 491
107780-14,05/19/2015,10134-73,Investor 156
107820-46,02/04/2015,106114-06,Investor 866
107834-68,11/26/2014,105849-28;105949-45;105964-84;106009-93;106042-60;106064-47;106124-41,Investor 474;Investor 610;Investor 636;Investor 703;Investor 756;Investor 792;Investor 886
107864-29,02/03/2015,105890-77,Investor 532
107992-36,04/13/2015,105974-83,Investor 654
108060-49,03/14/2016,105884-65;105985-63;106060-60,Investor 520;Investor 671;Investor 786
108107-02,02/11/2015,105939-37,Investor 594
108164-44,08/19/2008,10070-83,Investor 102
108255-16,04/22/2015,106022-53,Investor 726
108285-40,02/17/2015,106049-71,Investor 769
108312-22,06/08/2015,105928-21;105995-17;106042-87;106091-65,Investor 577;Investor 682;Investor 757;Investor 828
108314-56,03/05/2013,105983-47,Investor 667
108339-49,10/23/2015,10123-03;105859-36;105884-65;105974-65;105983-38;106012-27;106054-30;106060-15;106060-60,Investor 151;Investor 489;Investor 520;Investor 653;Investor 666;Investor 706;Investor 775;Investor 784;Investor 786
10837-18,07/14/2014,100085-59;10367-47,Investor 2;Investor 314
108389-08,09/16/2014,105974-65;106000-21;106118-74,Investor 653;Investor 689;Investor 878
108422-83,11/17/2015,105884-65;106008-13;106060-60;106093-90,Investor 520;Investor 700;Investor 786;Investor 834
108593-92,01/17/2017,105971-86,Investor 647
108607-87,02/27/2015,105858-55,Investor 486
108610-30,03/31/2016,106102-63,Investor 849
10862-02,04/29/2008,10052-20,Investor 69
108630-82,11/04/2014,10322-83,Investor 283
10866-79,08/08/2012,10133-20;106015-42;106053-40;106093-90,Investor 155;Investor 712;Investor 774;Investor 834
108676-63,04/21/2016,10123-03;106055-20,Investor 151;Investor 777
108690-13,07/15/2013,105999-22,Investor 686
108751-60,01/30/2014,105884-29,Investor 518
108783-55,06/11/2015,105974-65;106054-30,Investor 653;Investor 775
108812-71,08/15/2016,106035-13,Investor 742
108907-84,01/09/2015,105967-54,Investor 640
108919-72,04/15/2015,105942-88,Investor 601
108985-69,09/15/2014,101659-42,Investor 184
109056-61,11/01/2014,105928-21,Investor 577
109072-18,02/18/2016,10553-05,Investor 435
109192-24,03/01/2014,105616-00,Investor 440
109216-27,06/01/2013,105927-94;106126-84,Investor 575;Investor 893
109472-68,02/27/2015,105849-91,Investor 475
109507-42,08/24/2015,105907-15,Investor 553
109526-14,02/26/2015,106022-53,Investor 726
109684-90,11/17/2015,10196-83,Investor 212
109726-84,07/01/2015,101642-77,Investor 181
109743-49,03/05/2015,105884-65;105891-31;105968-71;106060-60,Investor 520;Investor 535;Investor 642;Investor 786
109766-26,03/09/2015,105900-94,Investor 545
109782-01,06/01/2015,106083-73,Investor 817
109789-57,01/24/2017,10331-11;105951-88;106033-87;106054-30,Investor 291;Investor 614;Investor 740;Investor 775
109837-99,03/10/2015,101655-82,Investor 183
109995-22,10/21/2011,10107-10,Investor 137
11020-06,01/08/2007,10121-86;10144-09,Investor 150;Investor 166
110201-50,06/25/2012,105938-65;105947-47;105953-14;105965-56;105976-54;106025-23,Investor 592;Investor 606;Investor 617;Investor 637;Investor 657;Investor 731
110207-71,11/02/2014,10139-41,Investor 161
110391-40,08/18/2016,105863-95,Investor 494
110415-25,12/23/2014,101830-69,Investor 198
110487-43,03/24/2015,10123-03,Investor 151
110488-15,03/24/2015,10120-87;10123-03;105907-15,Investor 148;Investor 151;Investor 553
110488-87,03/24/2015,105934-24,Investor 587
110498-23,03/27/2015,105907-15,Investor 553
110585-44,03/03/2016,10278-19;106099-03,Investor 266;Investor 842
110585-80,04/08/2015,10139-41,Investor 161
110586-34,04/05/2016,105885-46;105908-59,Investor 521;Investor 554
110671-84,04/07/2014,103211-47,Investor 282
110757-70,03/27/2015,106022-53,Investor 726
11085-13,02/11/2013,10139-41;105863-23;106113-43,Investor 161;Investor 493;Investor 865
110874-61,09/01/2007,10134-73,Investor 156
110949-13,07/30/2015,100624-51;10123-03;105907-15,Investor 90;Investor 151;Investor 553
111000-61,03/16/2015,106070-32,Investor 799
111020-59,04/02/2015,105907-15;105927-94;105983-38;106019-47;106020-28,Investor 553;Investor 575;Investor 666;Investor 718;Investor 721
111030-04,07/23/2015,105945-22,Investor 604
111250-54,03/11/2015,106039-45,Investor 750
111253-42,06/18/2007,10134-73,Investor 156
111253-60,01/04/2016,106040-17,Investor 752
111294-19,05/11/2015,105848-38;106107-22,Investor 471;Investor 858
111319-75,02/09/2015,10139-41,Investor 161
111323-89,03/02/2016,105863-23,Investor 493
111324-43,02/09/2015,10134-73,Investor 156
111383-47,03/31/2015,10052-20,Investor 69
111385-27,09/14/2015,105921-46,Investor 569
111429-91,04/17/2014,10134-73;105883-57,Investor 156;Investor 516
111470-95,12/23/2014,10322-83,Investor 283
111567-52,08/17/2015,10052-20;10139-41;105863-23;106011-46;106020-28,Investor 69;Investor 161;Investor 493;Investor 705;Investor 721
111612-70,11/20/2014,105957-10,Investor 625
111633-22,04/14/2015,105501-25,Investor 433
111652-21,05/04/2016,106067-89,Investor 795
111728-53,10/21/2016,100881-19;101830-69;10555-48,Investor 121;Investor 198;Investor 437
111812-23,05/08/2014,10382-32;105943-87,Investor 322;Investor 602
111926-89,10/26/2016,105907-15,Investor 553
111934-36,03/26/2015,105849-28;105885-46;105980-23;106009-93;106029-64,Investor 474;Investor 521;Investor 664;Investor 703;Investor 736
111950-11,03/26/2015,10139-41;106081-66,Investor 161;Investor 813
112011-58,04/21/2015,10388-62,Investor 330
112022-47,11/01/2015,105884-29;106008-13;106022-53,Investor 518;Investor 700;Investor 726
112027-33,05/07/2015,105952-33;105968-71,Investor 615;Investor 642
112117-33,07/08/2015,103536-01,Investor 304
112219-84,10/27/2016,100731-07,Investor 107
112496-32,09/29/2016,105847-84,Investor 470
112498-12,04/30/2015,105876-64;105883-57;105958-99;105967-00;106022-53;106081-12,Investor 508;Investor 516;Investor 629;Investor 639;Investor 726;Investor 812
112512-43,09/22/2015,10042-21,Investor 54
112545-91,05/01/2015,105977-98,Investor 661
112548-52,05/03/2015,101872-45;105962-41;106046-20,Investor 201;Investor 632;Investor 762
112575-25,12/01/2014,10066-15,Investor 96
112575-79,01/15/2013,105876-64;105974-56;105977-62;105980-23;105983-38;106021-09;106035-13;106070-77,Investor 508;Investor 652;Investor 659;Investor 664;Investor 666;Investor 724;Investor 742;Investor 801
112585-15,02/01/2014,10281-70,Investor 267
112906-63,09/21/2007,106046-65,Investor 763
112941-64,03/02/2016,10560-70,Investor 438
112950-64,05/07/2015,105915-97,Investor 561
112959-28,08/30/2016,105967-00,Investor 639
113007-43,09/13/2015,106049-71,Investor 769
113039-92,03/08/2016,10499-95,Investor 414
113046-94,04/12/2016,103272-40,Investor 289
113109-94,07/30/2015,103048-39,Investor 276
113116-96,08/17/2015,10134-73,Investor 156
113119-75,05/01/2016,104730-94,Investor 397
113121-46,05/17/2016,10463-23,Investor 389
113130-28,11/10/2010,102473-47,Investor 249
113144-59,07/09/2015,105884-65;105894-55;106116-76,Investor 520;Investor 539;Investor 871
113159-26,01/06/2016,10187-83,Investor 202
113232-16,10/18/2016,100153-81;100370-71;10525-24,Investor 12;Investor 46;Investor 426
113238-01,05/01/2015,105938-65;106022-62,Investor 592;Investor 727
113267-17,07/01/2012,106009-48;106063-21,Investor 702;Investor 789
113335-30,07/21/2015,105858-55,Investor 486
113352-13,05/18/2015,105907-15,Investor 553
113370-76,06/30/2016,10178-65,Investor 194
113439-79,04/25/2015,105884-29;106009-48;106067-17,Investor 518;Investor 702;Investor 793
113455-72,02/17/2015,105928-03,Investor 576
11357-38,01/22/2007,10077-85;10156-69,Investor 115;Investor 174
113573-89,10/05/2015,10458-73,Investor 384
113650-93,05/10/2015,101598-94,Investor 176
113681-08,12/03/2015,10146-16,Investor 167
113724-55,01/28/2016,10331-11,Investor 291
113728-15,06/26/2015,106039-45,Investor 750
113736-97,05/25/2015,106022-53;106081-66,Investor 726;Investor 813
113770-36,03/03/2016,104622-22,Investor 388
113773-15,05/10/2012,106009-48,Investor 702
113834-26,11/11/2015,104852-08,Investor 411
113868-28,01/05/2015,10364-23,Investor 310
113914-63,05/19/2015,105938-65,Investor 592
113933-89,06/21/2016,10560-70;105863-95,Investor 438;Investor 494
113978-98,11/10/2015,104134-87,Investor 357
113988-07,08/14/2014,105953-14;106009-93,Investor 617;Investor 703
114077-44,06/22/2016,105883-57,Investor 516
114080-41,01/23/2015,10052-20,Investor 69
114101-56,05/01/2015,106115-59,Investor 868
114101-83,06/30/2015,10123-03;10139-41,Investor 151;Investor 161
114243-76,05/21/2015,103785-49,Investor 320
114363-46,05/21/2015,105953-14;106064-47,Investor 617;Investor 792
11456-11,09/10/2007,104820-76,Investor 408
114624-55,05/28/2015,105968-71,Investor 642
114628-06,05/01/2015,102495-16;106015-42;106035-13,Investor 254;Investor 712;Investor 742
114693-04,09/01/2010,10532-80,Investor 429
114789-25,02/03/2016,105884-65,Investor 520
114826-06,05/04/2015,106076-35,Investor 809
114843-52,01/27/2016,10382-32;10612-18,Investor 322;Investor 882
114852-25,10/13/2016,106097-05,Investor 838
114888-07,01/01/2015,105976-18,Investor 656
114976-81,06/03/2015,105852-43,Investor 479
115028-74,09/30/2014,101626-39,Investor 179
115199-20,05/19/2016,10067-86,Investor 97
115350-67,01/01/2015,105976-18,Investor 656
115350-85,11/12/2015,105995-17;106091-65,Investor 682;Investor 828
115374-16,06/08/2015,100881-19;105953-14,Investor 121;Investor 617
115375-96,10/29/2015,10042-21,Investor 54
115403-68,01/18/2016,105847-84,Investor 470
115406-20,03/31/2016,10322-83,Investor 283
115472-89,01/31/2015,10357-03,Investor 307
115478-74,03/22/2014,105884-29;105899-14;105976-18,Investor 518;Investor 544;Investor 656
115485-49,09/24/2014,105501-25,Investor 433
115513-57,02/24/2016,105861-43;105883-57,Investor 490;Investor 516
115521-85,06/17/2015,10123-03;105934-24,Investor 151;Investor 587
115603-66,01/25/2015,104141-26;105899-14;105980-23,Investor 359;Investor 544;Investor 664
115610-14,08/10/2016,105968-71;106009-93,Investor 642;Investor 703
115622-83,02/01/2016,10042-21,Investor 54
117068-59,04/01/2015,105501-25;105931-09,Investor 433;Investor 584
117086-77,06/01/2015,104124-16,Investor 356
117120-52,06/16/2015,10123-03,Investor 151
117141-04,11/29/2016,106025-23,Investor 731
117150-67,11/11/2015,105967-72,Investor 641
117159-13,04/20/2016,106116-94,Investor 872
117177-85,04/27/2015,105999-22;106056-73;106123-24,Investor 686;Investor 780;Investor 884
117212-41,12/20/2013,105967-00,Investor 639
117236-53,01/29/2015,106015-96,Investor 713
11734-30,10/15/2007,10352-89,Investor 302
117396-10,08/24/2015,105976-18,Investor 656
117434-26,07/01/2014,10020-07,Investor 19
